"deviceVendor","deviceProduct","deviceHostName","deviceAddress","_count"
"Microsoft","Microsoft Windows","PW2200-0013.odeabank.com.tr","10.225.32.179","6"
"Microsoft","Microsoft Windows","PW9019-0537.odeabank.com.tr","10.225.208.103","6"
"Microsoft","Microsoft Windows","PW9019-0550.odeabank.com.tr","10.225.177.126","6"
"Microsoft","Microsoft Windows","PWG2040-0002.odeabank.com.tr","10.225.16.78","6"
"Microsoft","Microsoft Windows PowerShell","DSVD1100-01.odeabank.com.tr","10.225.39.224","6"
"Microsoft","Microsoft Windows PowerShell","NW-5CG7070MYZ.odeabank.com.tr","10.225.201.111","6"
"Microsoft","System or Application Event","CW9019-0078.odeabank.com.tr","10.225.237.234","6"
"Microsoft","System or Application Event","CWE-0004.odeabank.com.tr","10.225.236.22","6"
"Microsoft","System or Application Event","FloorPC-3902.odeabank.com.tr","10.225.184.24","6"
"Microsoft","System or Application Event","OBT-ARCSCON4.odeabank.com.tr","10.224.104.110","6"
"Microsoft","System or Application Event","OBTVM-ARCSCON10.odeabank.com.tr","10.224.104.132","6"
"Microsoft","System or Application Event","OBTVM-ASSET2.odeabank.com.tr","10.224.58.50","6"
"Microsoft","System or Application Event","OBTVM-BIGDB1.odeabank.com.tr","10.224.8.88","6"
"Microsoft","System or Application Event","OBTVM-DRIBMM1.odeabank.com.tr","10.224.146.165","6"
"Microsoft","System or Application Event","OBTVM-DRIBSU1.odeabank.com.tr","10.224.174.155","6"
"Microsoft","System or Application Event","OBTVM-DRIXAPP02.odeabank.com.tr","10.224.145.65","6"
"Microsoft","System or Application Event","OBTVM-DROCGW3.odeabank.com.tr","10.224.164.173","6"
"Microsoft","System or Application Event","OBTVM-DWHDRUI03.odeabank.com.tr","10.224.145.107","6"
"Microsoft","System or Application Event","OBTVM-DWHTSTA2.odeabank.com.tr","10.224.99.109","6"
"Microsoft","System or Application Event","OBTVM-OIDB1.odeabank.com.tr","10.224.104.31","6"
"Microsoft","System or Application Event","OBTVM-SASUI1.odeabank.com.tr","10.224.96.47","6"
"Microsoft","System or Application Event","PW1030-0040.odeabank.com.tr","10.225.4.176","6"
"Microsoft","System or Application Event","PW1140-0009.odeabank.com.tr","10.225.65.90","6"
"Microsoft","System or Application Event","PW2290-0001.odeabank.com.tr","10.225.50.26","6"
"Microsoft","System or Application Event","PW9019-0014.odeabank.com.tr","10.225.208.29","6"
"Microsoft","System or Application Event","PW9019-00158.odeabank.com.tr","10.225.201.39","6"
"Microsoft","System or Application Event","PW9019-0028.odeabank.com.tr","10.225.201.52","6"
"Microsoft","System or Application Event","PW9019-0142.odeabank.com.tr","10.225.208.137","6"
"Microsoft","System or Application Event","PW9019-0185.odeabank.com.tr","10.225.201.30","6"
"Microsoft","System or Application Event","PW9019-0325.odeabank.com.tr","10.225.181.155","6"
"Microsoft","System or Application Event","PW9019-0351.odeabank.com.tr","10.225.208.176","6"
"Microsoft","System or Application Event","PW9019-0555.odeabank.com.tr","10.225.201.7","6"
"Microsoft","System or Application Event","PWHAZ-0004.odeabank.com.tr","10.225.209.97","6"
"CISCO","ASA","obtvm-arcscon6.odeabank.com.tr","10.224.104.112","5"
"CISCO","CiscoRouter","","10.225.154.250","5"
"CISCO","CiscoRouter","","10.225.41.250","5"
"CISCO","CiscoRouter","obtvm-drucmsub02.odeabank.com.tr","10.224.134.67","5"
"F5","Big IP","DRC-INT-F5","10.224.131.11","5"
"Microsoft","Microsoft Windows","DSVP2030-01.odeabank.com.tr","10.225.12.234","5"
"Microsoft","Microsoft Windows","DSWB1200-01.odeabank.com.tr","10.225.29.163","5"
